"DisplayName","ApplicationId","ObjectId","Status"
"App Studio for Microsoft Teams","NOT FOUND","N/A","Missing"
"Augmentation Loop","NOT FOUND","N/A","Missing"
"Call Recorder","NOT FOUND","N/A","Missing"
"Connectors","48af08dc-f6d2-435f-b2a7-069abd99c086","80328445-e1f8-4473-a0d5-d720b5284e3a","Found"
"Copilot Data Platform","NOT FOUND","N/A","Missing"
"DataSecurityInvestigation","NOT FOUND","N/A","Missing"
"Device Management Service","NOT FOUND","N/A","Missing"
"EDU Assignments","NOT FOUND","N/A","Missing"
"EnrichmentSvc","NOT FOUND","N/A","Missing"
"Enterprise Copilot Platform","NOT FOUND","N/A","Missing"
"Groups Service","NOT FOUND","N/A","Missing"
"IC3 Gateway","NOT FOUND","N/A","Missing"
"IC3 Gateway Non Cae","NOT FOUND","N/A","Missing"
"Insights Services","NOT FOUND","N/A","Missing"
"INT Augmentation Loop 1P","NOT FOUND","N/A","Missing"
"Legacy Smart Compose","NOT FOUND","N/A","Missing"
"Loop","NOT FOUND","N/A","Missing"
"Loop Web Application","NOT FOUND","N/A","Missing"
"Loop Web Service","NOT FOUND","N/A","Missing"
"M365 Admin Services","6b91db1b-f05b-405a-a0b2-e3f60b28d645","f4323644-f5d8-40f2-9307-2ed96cd0a9f4","Found"
"M365 Auditing Public Protected Web API app","NOT FOUND","N/A","Missing"
"M365ChatClient","NOT FOUND","N/A","Missing"
"make.gov.powerapps.us","NOT FOUND","N/A","Missing"
"make.powerapps.com","NOT FOUND","N/A","Missing"
"Media Analysis and Transformation Service","944f0bd1-117b-4b1c-af26-804ed95e767e","6820eae3-e994-4b6a-9eb9-8a9d5a90fcd4","Found"
"Message Recall","NOT FOUND","N/A","Missing"
"Messaging Async Media","NOT FOUND","N/A","Missing"
"MessagingAsyncMediaProd","NOT FOUND","N/A","Missing"
"Microsoft 365 Reporting Service","NOT FOUND","N/A","Missing"
"Microsoft Discovery Service","NOT FOUND","N/A","Missing"
"Microsoft Exchange Online Protection","00000007-0000-0ff1-ce00-000000000000","e2dfbed7-5c51-4e23-9997-edd7e1323c52","Found"
"Microsoft Flow Portal","NOT FOUND","N/A","Missing"
"Microsoft Flow Portal GCC","NOT FOUND","N/A","Missing"
"Microsoft Forms","c9a559d2-7aab-4f13-a6ed-e7e9c52aec87","0c08a3a6-b9b4-4275-8cc6-700d25bd2db4","Found"
"Microsoft Forms Web","NOT FOUND","N/A","Missing"
"Microsoft Information Protection API","40775b29-2688-46b6-a3b5-b256bd04df9f","3a14f945-7d96-4212-b2b0-8b1a4d3a3c29","Found"
"Microsoft Office","NOT FOUND","N/A","Missing"
"Microsoft Office 365 Portal","00000006-0000-0ff1-ce00-000000000000","d2a2cf66-b81b-454c-a1a3-f1e58656a1b8","Found"
"Microsoft People Cards Service","394866fc-eedb-4f01-8536-3ff84b16be2a","3126a8b2-afc8-4e74-8739-4b0879990bea","Found"
"Microsoft Planner","NOT FOUND","N/A","Missing"
"Microsoft Planner Client","NOT FOUND","N/A","Missing"
"Microsoft SharePoint Online - SharePoint Home","dcad865d-9257-4521-ad4d-bae3e137b345","b0b619c2-d266-4b66-bd91-138c44dbf7a4","Found"
"Microsoft Stream Portal","NOT FOUND","N/A","Missing"
"Microsoft Stream Service","NOT FOUND","N/A","Missing"
"Microsoft Teams","NOT FOUND","N/A","Missing"
"Microsoft Teams - T4L Web Client","NOT FOUND","N/A","Missing"
"Microsoft Teams - Teams And Channels Service","b55b276d-2b09-4ad2-8de5-f09cf24ffba9","1edf1a14-d13f-4d1d-9a36-6836d61ee6c2","Found"
"Microsoft Teams Analytics","NOT FOUND","N/A","Missing"
"Microsoft Teams Chat Aggregator","b1379a75-ce5e-4fa3-80c6-89bb39bf646c","9422551a-4bae-4e0b-a41b-d435758ba4da","Found"
"Microsoft Teams Graph Service","ab3be6b7-f5df-413d-ac2d-abf1e3fd9c0b","11d8ea1e-9264-4b7c-b61f-17e746553db9","Found"
"Microsoft Teams Mailhook","NOT FOUND","N/A","Missing"
"Microsoft Teams Retail Service","NOT FOUND","N/A","Missing"
"Microsoft Teams Services","cc15fd57-2c6c-4117-a88c-83b1d56b4bbe","c7ea8d6b-4993-4140-b0af-aaa7f30bb67d","Found"
"Microsoft Teams Targeting Application","NOT FOUND","N/A","Missing"
